movieId,imdbId,release_date,title,main_director,soup
160563,918940,2016-06-29,The Legend of Tarzan,David Yates,africa feralchild tarzan jungl animalattack alexanderskarsgård margotrobbie christophwaltz davidyates davidyates davidyates
168344,1972591,2017-04-27,King Arthur: Legend of the Sword,Guy Ritchie,sword kingarthur perioddrama 3d charliehunnam astridbergès-frisbey judelaw guyritchie guyritchie guyritchie
122922,1211837,2016-10-25,Doctor Strange,Scott Derrickson,magic marvelcom superhero basedoncom sorcer doctor neurosurgeon wizard aftercreditssting duringcreditssting marvelcinematicunivers benedictcumberbatch chiwetelejiofor rachelmcadams scottderrickson scottderrickson scottderrickson
135536,1386697,2016-08-02,Suicide Squad,David Ayer,dccomic sharedunivers antihero secretmiss villain superhero supervillain dcextendedunivers willsmith margotrobbie joelkinnaman davidayer davidayer davidayer
260,76759,1977-05-25,Star Wars,George Lucas,android galaxi hermit deathstar lightsab jedi rescuemiss empir rebellion planet smuggler theforc spaceopera galacticwar stormtroop totalitarian markhamill harrisonford carriefisher georgelucas georgelucas georgelucas
135861,2637276,2015-06-25,Ted 2,Seth MacFarlane,spermbank sequel buddi courthous teddybear aftercreditssting toycomestolif marri markwahlberg sethmacfarlane amandaseyfried sethmacfarlane sethmacfarlane sethmacfarlane
527,108052,1993-11-29,Schindler's List,Steven Spielberg,factori concentrationcamp hero holocaust worldwarii nazi defenseindustri biographi theholocaust liamneeson benkingsley ralphfiennes stevenspielberg stevenspielberg stevenspielberg
88744,1318514,2011-08-03,Rise of the Planet of the Apes,Rupert Wyatt,intellig zoo cage dystopia goldengatebridg ape monkey medicalresearch alzheimer'sdiseas jamesfranco freidapinto johnlithgow rupertwyatt rupertwyatt rupertwyatt
117895,4046784,2015-09-09,Maze Runner: The Scorch Trials,Wes Ball,basedonnovel resist maze post-apocalypt dystopia infect ontherun escap zombi storm diseas desert sewer antidot corpor virus runner cityruin immun dylano'brien kayascodelario thomasbrodie-sangster wesball wesball wesball
858,68646,1972-03-14,The Godfather,Francis Ford Coppola,itali loveatfirstsight lossoffath patriarch organizedcrim mafia lawyer italianamerican crimefamili risetopow mobboss 1940s marlonbrando alpacino jamescaan francisfordcoppola francisfordcoppola francisfordcoppola
135143,3183660,2016-11-16,Fantastic Beasts and Where to Find Them,David Yates,robberi magic teleport suitcas newyorkc subwayst centralpark wizard goblin magicalcreatur eddieredmayne colinfarrell katherinewaterston davidyates davidyates davidyates
5618,245429,2001-07-20,Spirited Away,Hayao Miyazaki,witch parentchildrelationship magic dark bathhous ghostworld parallelworld amusementpark youkai japanesemytholog anim spirit rumihiiragi miyuirino marinatsuki hayaomiyazaki hayaomiyazaki hayaomiyazaki
175569,5362988,2017-08-03,Wind River,Taylor Sheridan,rape mountain gun investig murder nativeamerican shootout photograph violenc fbiag binocular snowmobil indianreserv jeremyrenner elizabetholsen gilbirmingham taylorsheridan taylorsheridan taylorsheridan
159093,3110958,2016-06-02,Now You See Me 2,Jon M. Chu,londonengland china magic secretsocieti vigilant sequel reveng heist ontherun macauchina magician jesseeisenberg woodyharrelson markruffalo jonm.chu jonm.chu jonm.chu
2324,118799,1997-12-20,Life Is Beautiful,Roberto Benigni,itali riddl bookshop selfsacrific massmurd concentrationcamp bicycleaccid fascism lossoffath worldwarii loveofone'slif deport jewpersecut fantasi nazi nationalsoci charad ridingabicycl price storytel concentrationcampprison dyinganddeath peekaboo nicolettabraschi robertobenigni giorgiocantarini robertobenigni robertobenigni robertobenigni
174585,3371366,2017-06-21,Transformers: The Last Knight,Michael Bay,knight transform markwahlberg joshduhamel laurahaddock michaelbay michaelbay michaelbay
168286,1691916,2017-03-02,Before I Fall,Ry Russo-Young,basedonnovel timeloop teenag mumblecor teendrama basedonyoungadultnovel zoeydeutch halstonsage loganmiller ryrusso-young ryrusso-young ryrusso-young
4896,241527,2001-11-16,Harry Potter and the Philosopher's Stone,Chris Columbus,witch christmasparti magic cuttingthecord halloween childhero broom chosenon frog fantasyworld basedonyoungadultnovel danielradcliffe rupertgrint emmawatson chriscolumbus chriscolumbus chriscolumbus
175655,3564472,2017-07-21,Girls Trip,Malcolm D. Lee,reginahall queenlatifah jadapinkettsmith malcolmd.lee malcolmd.lee malcolmd.lee
174893,1131724,2017-06-29,2:22,Paul Currie,michielhuisman teresapalmer samreid paulcurrie paulcurrie paulcurrie
122892,2395427,2015-04-22,Avengers: Age of Ultron,Joss Whedon,marvelcom sequel superhero basedoncom vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo josswhedon josswhedon josswhedon
168250,5052448,2017-02-24,Get Out,Jordan Peele,externallycontrolledact parents-in-law satir darkcomedi interracialrelationship disappear racism africanamerican stereotyp policeharass miss race-consci danielkaluuya allisonwilliams bradleywhitford jordanpeele jordanpeele jordanpeele
1219,54215,1960-06-16,Psycho,Alfred Hitchcock,hotel clerk arizona shower rain motel money secretari corps murder theft privatedetect proto-slash anthonyperkins veramiles johngavin alfredhitchcock alfredhitchcock alfredhitchcock
115210,2713180,2014-10-15,Fury,David Ayer,worldwarii nazi war nazigermani panzer tank bradpitt shialabeouf loganlerman davidayer davidayer davidayer
172547,3469046,2017-06-15,Despicable Me 3,Kyle Balda,minion stevecarell kristenwiig treyparker kylebalda kylebalda kylebalda
1221,71562,1974-12-20,The Godfather: Part II,Francis Ford Coppola,italo-american cuba vorort melancholi prais reveng mafia lawyer blood corruptpolitician bloodybodyofchild manpuncheswoman alpacino robertduvall dianekeaton francisfordcoppola francisfordcoppola francisfordcoppola
166528,3748528,2016-12-14,Rogue One: A Star Wars Story,Gareth Edwards,rebel spacebattl spacetravel war prequel spaceship space alien deathstar jedi rebellion femaleprotagonist spacewestern gunfight suicidemiss robot spinoff lasergun spaceopera alienlanguag againsttheodd blindman felicityjones diegoluna benmendelsohn garethedwards garethedwards garethedwards
111360,2872732,2014-07-14,Lucy,Luc Besson,artificialintellig telepathi intellig drugmul telekinesi futurist drug superpow toughgirl imax surgeri braincapac syntheticdrug humanbrain scarlettjohansson morganfreeman choimin-sik lucbesson lucbesson lucbesson
169864,5442430,2017-03-22,Life,Daniel Espinosa,mar alienlife-form space astronaut spacest intellig trappedinspac extraterrestriallif jakegyllenhaal rebeccaferguson ryanreynolds danielespinosa danielespinosa danielespinosa
162600,1935859,2016-09-28,Miss Peregrine's Home for Peculiar Children,Tim Burton,timetravel orphan superpow evagreen asabutterfield samuell.jackson timburton timburton timburton
171759,5592248,2017-06-23,The Beguiled,Sofia Coppola,sexualtens perioddrama unionsoldi americancivilwar womandirector confederaci allgirlsschool colinfarrell nicolekidman kirstendunst sofiacoppola sofiacoppola sofiacoppola
165581,6044910,2016-09-30,Operation Mekong,Dante Lam,china river boat illegaldrug incid mekong zhanghanyu eddiepeng fengwenjuan dantelam dantelam dantelam
170813,1469304,2017-05-12,Baywatch,Seth Gordon,beach drugdeal basedontvseri lifeguard rooki vigilant dwaynejohnson zacefron alexandradaddario sethgordon sethgordon sethgordon
1193,73486,1975-11-18,One Flew Over the Cuckoo's Nest,Miloš Forman,individu rebel self-destruct wheelchair lunaticasylum dyinganddeath rageandh freedom insan basicrightsandhumanright psychiatrist jacknicholson louisefletcher dannydevito milošforman milošforman milošforman
106072,1981115,2013-10-29,Thor: The Dark World,Alan Taylor,marvelcom superhero basedoncom hostiletakeov norsemytholog aftercreditssting duringcreditssting marvelcinematicunivers 3d asgard chrishemsworth natalieportman tomhiddleston alantaylor alantaylor alantaylor
166291,5323662,2016-09-17,A Silent Voice,Naoko Yamada,friendship highschool bulli comingofag basedonmanga deaf womandirector signlanguag anim miyuirino saorihayami aoiyuki naokoyamada naokoyamada naokoyamada
163134,5311514,2016-08-26,Your Name.,Makoto Shinkai,supernatur romanc school starcrossedlov anim bodyswitch ryunosukekamiki monekamishiraishi masaminagasawa makotoshinkai makotoshinkai makotoshinkai
36086,112870,1995-10-20,Dilwale Dulhania Le Jayenge,Aditya Chopra,music shahrukhkhan kajol amrishpuri adityachopra adityachopra adityachopra
152017,2674426,2016-06-02,Me Before You,Thea Sharrock,england basedonnovel depress smalltown wheelchair caretak caregiv disabl twentysometh womandirector romanticdrama deadendjob accid emiliaclarke samclaflin janetmcteer theasharrock theasharrock theasharrock
152017,2674426,2016-06-02,Me Before You,Thea Sharrock,england basedonnovel depress smalltown wheelchair caretak caregiv disabl twentysometh womandirector romanticdrama deadendjob accid emiliaclarke samclaflin janetmcteer theasharrock theasharrock theasharrock
61398,804507,2007-09-06,The Mother of Tears,Dario Argento,rome coffin sacrific urn cult paranorm witch asiaargento cristiansolimeno adamjames darioargento darioargento darioargento
78772,1325004,2010-06-23,The Twilight Saga: Eclipse,David Slade,vampir graduat bite immort werewolf fangvamp kristenstewart robertpattinson taylorlautner davidslade davidslade davidslade
103228,1663662,2013-07-11,Pacific Rim,Guillermo del Toro,dystopia giantrobot giantmonst apocalyps imax duringcreditssting 3d idriselba charliehunnam charlieday guillermodeltoro guillermodeltoro guillermodeltoro
170827,2345759,2017-06-06,The Mummy,Alex Kurtzman,monster mummi horror tomcruise russellcrowe annabellewallis alexkurtzman alexkurtzman alexkurtzman
175475,4877122,2017-07-28,The Emoji Movie,Anthony Leondis,app emoji smartphon t.j.miller jamescorden annafaris anthonyleondis anthonyleondis anthonyleondis
170199,5456104,2017-03-10,Rescue Under Fire,Adolfo Martínez Pérez,war drama spanish ariadnagil robertoálamo antoniogarrido adolfomartínezpérez adolfomartínezpérez adolfomartínezpérez
146656,3076658,2015-11-25,Creed,Ryan Coogler,underdog sport spinoff undergroundfight motivationalspeak box michaelb.jordan sylvesterstallone grahammctavish ryancoogler ryancoogler ryancoogler
2571,133093,1999-03-30,The Matrix,Lana Wachowski,savingtheworld artificialintellig manvsmachin philosophi propheci martialart selfsacrific fight insurg virtualr dystopia truth cyberpunk womandirector messiah gnostic keanureeves laurencefishburne carrie-annemoss lanawachowski lanawachowski lanawachowski
125916,2322441,2015-02-11,Fifty Shades of Grey,Sam Taylor-Johnson,basedonnovel pervers spank billionair bdsm womandirector dakotajohnson jamiedornan jenniferehle samtaylor-johnson samtaylor-johnson samtaylor-johnson
117529,369610,2015-06-09,Jurassic World,Colin Trevorrow,monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan colintrevorrow colintrevorrow colintrevorrow
109487,816692,2014-11-05,Interstellar,Christopher Nolan,savingtheworld artificialintellig fathersonrelationship singlepar nasa expedit wormhol spacetravel famin blackhol dystopia raceagainsttim quantummechan spaceship space rescu familyrelationship farmhous robot astronaut scientist fatherdaughterrelationship singlefath farmer spacest imax astrophys zerograv courag timeparadox relat matthewmcconaughey jessicachastain annehathaway christophernolan christophernolan christophernolan
1227,87843,1984-02-16,Once Upon a Time in America,Sergio Leone,lifeanddeath corrupt streetgang rape sadist lovesick sexualabus moneylaund opium robertdeniro jameswoods elizabethmcgovern sergioleone sergioleone sergioleone
4993,120737,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,elv dwarv orc middle-earth(tolkien) hobbit basedonnovel mountain firework castl volcano password deathofafriend uncl mirror wizard swordandsorceri elijahwood ianmckellen cateblanchett peterjackson peterjackson peterjackson
111759,1631867,2014-05-27,Edge of Tomorrow,Doug Liman,dejavu timewarp restart dystopia war alien militaryoffic soldier alieninvas exoskeleton tomcruise emilyblunt brendangleeson dougliman dougliman dougliman
165603,3289956,2016-12-21,The Autopsy of Jane Doe,André Øvredal,fathersonrelationship crematorium autopsi supernatur murder bell morgu corps thunderstorm coron autopsyroom supernaturalhorror elev axe causeofdeath emilehirsch briancox ophelialovibond andréøvredal andréøvredal andréøvredal
118696,2310332,2014-12-10,The Hobbit: The Battle of the Five Armies,Peter Jackson,corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri martinfreeman ianmckellen richardarmitage peterjackson peterjackson peterjackson
122886,2488496,2015-12-15,Star Wars: The Force Awakens,J.J. Abrams,android spaceship jedi imax spaceopera 3d daisyridley johnboyega adamdriver j.j.abrams j.j.abrams j.j.abrams
116797,2084970,2014-11-14,The Imitation Game,Morten Tyldum,gay england worldwarii mathematician biographi logician cryptographi benedictcumberbatch keiraknightley matthewgoode mortentyldum mortentyldum mortentyldum
136864,2975590,2016-03-23,Batman v Superman: Dawn of Justice,Zack Snyder,dccomic vigilant superhero basedoncom reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavill galgadot zacksnyder zacksnyder zacksnyder
53125,449088,2007-05-19,Pirates of the Caribbean: At World's End,Gore Verbinski,ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski goreverbinski goreverbinski
167488,2126235,2016-08-04,Collide,Eran Creevy,nicholashoult felicityjones anthonyhopkins erancreevy erancreevy erancreevy
63992,1099212,2008-11-20,Twilight,Catherine Hardwicke,soulmat vampir forbiddenlov immort trust desir duringcreditssting womandirector interspeciesrom basedonyoungadultnovel fangvamp kristenstewart robertpattinson billyburke catherinehardwicke catherinehardwicke catherinehardwicke
95510,948470,2012-06-27,The Amazing Spider-Man,Marc Webb,lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting andrewgarfield emmastone rhysifans marcwebb marcwebb marcwebb
174055,5013056,2017-07-19,Dunkirk,Christopher Nolan,franc beach worldwarii evacu german pilot britisharmi royalnavi royalairforc privat alliedforc dunkirk fionnwhitehead tomglynn-carney jacklowden christophernolan christophernolan christophernolan
164179,2543164,2016-11-10,Arrival,Denis Villeneuve,spacecraft languag loss romanc alien femaleprotagonist scientist famili heartbreak basedonshortstori nonlineartimelin militari alienlanguag linguist firstcontact communic linguist amyadams jeremyrenner forestwhitaker denisvilleneuve denisvilleneuve denisvilleneuve
105844,2024544,2013-10-18,12 Years a Slave,Steve McQueen,whip kidnap slaveri plantat nightshift violinplay physicalabus cotton slaveown 19thcenturi soldintoslaveri abolitionist chiwetelejiofor michaelfassbender lupitanyong'o stevemcqueen stevemcqueen stevemcqueen
120466,1823672,2015-03-04,Chappie,Neill Blomkamp,artificialintellig android robot nearfutur robotcop sharltocopley devpatel ninja neillblomkamp neillblomkamp neillblomkamp
120799,1340138,2015-06-23,Terminator Genisys,Alan Taylor,savingtheworld artificialintellig cyborg killerrobot futur timetravel dystopia sequel fiction duringcreditssting 3d arnoldschwarzenegger jasonclarke emiliaclarke alantaylor alantaylor alantaylor
174815,4481514,2017-06-29,The House,Andrew J. Cohen,amypoehler willferrell allisontolman andrewj.cohen andrewj.cohen andrewj.cohen
72407,1259571,2009-03-15,The Twilight Saga: New Moon,Chris Weitz,moon cinema vampir werewolf fangvamp kristenstewart robertpattinson taylorlautner chrisweitz chrisweitz chrisweitz
5816,295297,2002-11-13,Harry Potter and the Chamber of Secrets,Chris Columbus,flyingcar witch magic cuttingthecord childhero broom sorcerer'sapprentic schoolofwitchcraft giantsnak blackmag aftercreditssting danielradcliffe rupertgrint emmawatson chriscolumbus chriscolumbus chriscolumbus
45722,383574,2006-06-20,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski goreverbinski goreverbinski
168254,3731562,2017-03-08,Kong: Skull Island,Jordan Vogt-Roberts,vietnamveteran 1970s monster expedit island kingkong u.s.soldi kaiju aftercreditssting monsterisland unchart tomhiddleston samuell.jackson brielarson jordanvogt-roberts jordanvogt-roberts jordanvogt-roberts
5952,167261,2002-12-18,The Lord of the Rings: The Two Towers,Peter Jackson,elv orc middle-earth(tolkien) hobbit basedonnovel explos cave fort armi mission attack guid wizard ring swordandsorceri elijahwood ianmckellen viggomortensen peterjackson peterjackson peterjackson
5349,145487,2002-05-01,Spider-Man,Sam Raimi,lossoflov spider thanksgiv badboss hostil marvelcom superhero poki evil referencetosuperman goblin tobeymaguire willemdafoe kirstendunst samraimi samraimi samraimi
122882,1392190,2015-05-13,Mad Max: Fury Road,George Miller,futur chase post-apocalypt dystopia australia rescu surviv ontherun convoy peakoil darkfutur tomhardy charlizetheron nicholashoult georgemiller georgemiller georgemiller
7153,167260,2003-12-01,The Lord of the Rings: The Return of the King,Peter Jackson,elv orc middle-earth(tolkien) basedonnovel suspicion braveri war honor troll brutal violenc ghost endoftrilog quest swordandsorceri elijahwood ianmckellen viggomortensen peterjackson peterjackson peterjackson
86332,800369,2011-04-21,Thor,Kenneth Branagh,newmexico banish shield marvelcom hammer superhero basedoncom redempt norsemytholog aftercreditssting marvelcinematicunivers 3d asgard odin heimdal chrishemsworth natalieportman tomhiddleston kennethbranagh kennethbranagh kennethbranagh
168712,4465564,2017-02-08,Fifty Shades Darker,James Foley,femalenud sex basedonnovel boat nuditi kiss sequel bdsm adapt eroticmovi oralsex dakotajohnson jamiedornan ericjohnson jamesfoley jamesfoley jamesfoley
79132,1375666,2010-07-14,Inception,Christopher Nolan,lossoflov dream kidnap sleep subconsci heist redempt femalehero leonardodicaprio josephgordon-levitt ellenpage christophernolan christophernolan christophernolan
166534,4972582,2016-11-15,Split,M. Night Shyamalan,childabus kidnap gore stalk teenagegirl blood violenc mentalil superpow multipleperson traumaticchildhood dissociativeidentitydisord jamesmcavoy anyataylor-joy bettybuckley m.nightshyamalan m.nightshyamalan m.nightshyamalan
122924,3385516,2016-05-18,X-Men: Apocalypse,Bryan Singer,mutant supernaturalpow marvelcom superhero basedoncom superhuman apocalyps superheroteam worlddomin aftercreditssting 1980s jamesmcavoy michaelfassbender jenniferlawrence bryansinger bryansinger bryansinger
33794,372784,2005-06-10,Batman Begins,Christopher Nolan,himalaya martialart dccomic crimefight secretident undercov hero lossoffath societi gothamc vigilant superhero basedoncom rivalri tragichero ninja goodvsevil crime superpow hauntedbythepast evildoctor escapad mastervillain fightingcrim unfulfil loveandrom unfulfilledlov christianbale michaelcaine liamneeson christophernolan christophernolan christophernolan
8368,304141,2004-05-31,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,fli traitor magic cuttingthecord childhero broom sorcerer'sapprentic schoolofwitchcraft griffon blackmag timetravel bestfriend werewolf dark muggl aftercreditssting danielradcliffe rupertgrint emmawatson alfonsocuarón alfonsocuarón alfonsocuarón
175505,2569088,2017-07-11,The Saint,Ernie Barbarash,thesaint adamrayner elizadushku ianogilvy erniebarbarash erniebarbarash erniebarbarash
